message_id,subject,body,label
legit-028,Meeting notes for seminar,Thanks for your order. Your reference is 4608. You can view the receipt in the account you already use.,0
legit-064,Meeting notes for security,The research team has completed this week's update. The document is in the shared project folder.,0
phish-093,Confidential document shared with you,"Dear user, your account will be locked today. Click the link and confirm your password immediately.",1
legit-033,Library item due next week,"Here is the agenda we discussed: progress, open questions and plans for the next sprint.",0
legit-071,Receipt for order 1757,Welcome to the security course. The first class is at 09:00 in the room shown on your timetable.,0
legit-120,Monthly account summary,The library team has completed this week's update. The document is in the shared project folder.,0
phish-099,Payment failed - immediate action required,The attached document is confidential. Enable editing and sign in when prompted to read it.,1
legit-077,Reminder: software tomorrow,Welcome to the software course. The first class is at 13:00 in the room shown on your timetable.,0
legit-002,Meeting notes for research,"Hi Casey, the notes from our research meeting are attached. Please add any corrections before Friday.",0
legit-003,Monthly account summary,Your monthly summary is now available through the usual account portal. This message contains no payment request.,0
phish-080,Payment failed - immediate action required,"Dear user, your account will be locked today. Click the link and confirm your password immediately.",1
phish-077,Password expires in one hour,We could not process invoice 6655. Open the secure form now and enter your card details to avoid a fee.,1
phish-087,Mailbox will be suspended today,We could not process invoice 6456. Open the secure form now and enter your card details to avoid a fee.,1
phish-106,Refund waiting for approval,Your mailbox has exceeded its limit. Sign in through this link within one hour to keep access.,1
phish-036,Refund waiting for approval,The attached document is confidential. Enable editing and sign in when prompted to read it.,1
legit-061,Draft agenda for our next meeting,"Hi Morgan, the notes from our project meeting are attached. Please add any corrections before Friday.",0
phish-104,Final warning for invoice 4509,This is the final security notice. Failure to verify immediately will permanently suspend your account.,1
legit-016,Meeting notes for security,Thanks for your order. Your reference is 2489. You can view the receipt in the account you already use.,0
phish-114,Urgent: verify your account now,A refund of GBP 6727 is waiting. Confirm your bank details before the request expires.,1
phish-107,Refund waiting for approval,Your mailbox has exceeded its limit. Sign in through this link within one hour to keep access.,1
legit-007,Welcome to the research course,"Here is the agenda we discussed: progress, open questions and plans for the next sprint.",0
phish-103,Security alert: confirm your details,The attached document is confidential. Enable editing and sign in when prompted to read it.,1
